10 9146 -20.6
20 18803 -20.3
30 28165 -20.233333333333334
40 37761 -20.275
50 46924 -20.28
60 55485 -20.333333333333332
70 65290 -20.3
10 9301 -20.7
10 8629 -20.7
20 17923 -20.65
30 27121 -20.566666666666666
40 36428 -20.55
50 46180 -20.42
60 55628 -20.4
70 64596 -20.428571428571427
80 73186 -20.475
90 82651 -20.444444444444443
100 92074 -20.39
110 100500 -20.39
120 109531 -20.38
130 118494 -20.39
140 127558 -20.38
150 137131 -20.38
160 147386 -20.34
170 157150 -20.32
180 166902 -20.27
190 176763 -20.32
200 187099 -20.35
210 197168 -20.29
10 8845 -20.6
20 18032 -20.55
30 27284 -20.533333333333335
40 36382 -20.55
50 45975 -20.44
60 55230 -20.433333333333334
70 64130 -20.457142857142856
80 73269 -20.4125
90 82351 -20.41111111111111
100 91840 -20.39
110 101190 -20.35
120 109956 -20.36
130 118870 -20.39
140 127853 -20.37
150 137572 -20.41
160 147187 -20.38
170 156958 -20.32
180 166837 -20.33
190 177731 -20.26
200 188707 -20.19
210 198987 -20.15
220 209226 -20.06
230 219793 -19.95
240 230024 -19.9
250 240809 -19.91
260 251250 -19.84
270 261338 -19.84
280 271185 -19.85
290 282688 -19.8
300 293211 -19.82
310 303542 -19.81
320 313780 -19.87
330 323826 -19.89
340 335351 -19.86
350 345580 -19.81
360 355307 -19.88
370 365964 -19.86
380 376506 -19.84
390 387614 -19.83
400 398949 -19.82
410 410908 -19.72
420 421412 -19.7
430 432521 -19.66
440 444181 -19.65
450 456652 -19.55
460 468361 -19.47
470 480455 -19.32
480 491903 -19.24
490 503646 -19.25
500 515946 -19.2
510 529312 -19.16
520 542463 -19.04
530 555946 -18.88
540 568712 -18.81
550 583165 -18.72
560 597465 -18.56
570 612060 -18.55
580 627734 -18.37
590 644097 -18.1
600 659722 -17.87
610 676367 -17.59
620 693616 -17.33
630 709091 -17.24
640 728104 -16.82
650 747104 -16.6
660 768532 -16.37
670 789888 -16.0
680 814443 -15.47
690 838966 -15.01
700 865098 -14.49
710 896878 -13.69
720 928373 -12.72
730 961326 -11.41
740 998544 -9.98
750 1036018 -8.33
760 1066274 -6.22
770 1098941 -4.28
780 1131204 -2.5
790 1158653 -0.22
800 1187090 1.95
810 1213316 3.86
820 1236846 5.87
830 1263591 7.19
840 1288412 8.38
850 1314551 9.51
860 1339852 9.99
870 1363365 10.88
880 1388552 11.6
890 1412258 11.86
900 1434536 12.3
910 1457624 12.55
920 1481252 12.67
930 1503434 13.22
940 1525027 13.62
950 1547328 13.93
960 1569724 14.42
970 1591809 14.48
980 1615040 14.59
990 1637198 14.72
1000 1659116 14.69
1010 1681538 14.73
1020 1703163 14.8
1030 1725046 14.83
1040 1749943 14.51
1050 1772934 14.36
1060 1796995 14.16
1070 1818468 14.24
1080 1841119 14.38
1090 1863934 14.43
1100 1884843 14.61
1110 1908095 14.56
1120 1928866 14.67
1130 1950216 14.69
1140 1970741 15.15
1150 1992996 15.36
1160 2015549 15.53
1170 2039351 15.48
1180 2060805 15.51
1190 2082643 15.63
1200 2104323 15.6
1210 2127702 15.64
1220 2148655 15.56
1230 2170714 15.63
1240 2192160 15.55
1250 2212643 15.66
1260 2233538 15.79
1270 2256251 15.83
1280 2277399 15.85
1290 2299683 15.82
1300 2320387 15.93
1310 2341110 16.13
1320 2363097 16.26
1330 2387402 16.14
1340 2408880 16.03
1350 2433065 15.7
1360 2454024 15.66
1370 2475215 15.78
1380 2496293 15.94
1390 2518100 15.92
1400 2538706 15.88
1410 2560803 15.89
1420 2582203 15.81
1430 2603694 15.91
1440 2625279 16.1
1450 2646672 16.24
1460 2668227 16.2
1470 2691309 15.99
1480 2713068 15.89
1490 2733928 16.05
1500 2754430 16.1
1510 2774999 16.17
1520 2796026 16.25
1530 2816198 16.42
1540 2837387 16.4
1550 2858961 16.53
1560 2881228 16.46
1570 2903158 16.65
1580 2924619 16.72
1590 2944742 16.54
1600 2966061 16.5
1610 2986635 16.53
1620 3006889 16.53
1630 3029019 16.38
1640 3051244 16.28
1650 3072743 16.32
1660 3094429 16.5
1670 3115237 16.62
1680 3134662 16.72
1690 3155548 16.84
1700 3175539 16.88
1710 3195699 16.84
1720 3219262 16.5
1730 3241486 16.49
1740 3262043 16.65
1750 3284044 16.6
1760 3304738 16.59
1770 3326225 16.41
1780 3347919 16.08
1790 3369042 15.99
1800 3389138 15.97
1810 3409416 16.06
1820 3430283 16.36
1830 3451434 16.45
1840 3472697 16.33
1850 3493451 16.41
1860 3514722 16.36
1870 3536039 16.49
1880 3556251 16.75
1890 3577767 16.76
1900 3599143 16.73
1910 3619495 16.61
1920 3641756 16.39
1930 3662221 16.41
1940 3682918 16.47
1950 3704140 16.34
1960 3724783 16.39
1970 3745506 16.36
1980 3766184 16.25
1990 3787318 16.34
2000 3809622 16.14
2010 3831000 16.19
2020 3853410 16.37
2030 3874286 16.28
2040 3895377 16.24
2050 3917007 16.18
2060 3938930 16.05
2070 3958518 16.14
2080 3978121 16.29
2090 4000382 16.09
2100 4021714 16.27
2110 4042686 16.2
2120 4062522 16.24
2130 4083789 16.32
2140 4105361 16.21
2150 4126765 16.2
2160 4147875 16.36
2170 4167715 16.37
2180 4187267 16.35
2190 4208007 16.5
2200 4229498 16.41
2210 4249597 16.46
2220 4271039 16.35
2230 4292350 16.21
2240 4314585 16.22
2250 4336415 16.19
2260 4358379 16.01
2270 4377994 16.02
2280 4397994 15.92
2290 4418435 16.0
2300 4439687 16.04
2310 4460340 16.03
2320 4479882 16.22
2330 4500824 16.34
2340 4522276 16.38
2350 4543941 16.54
2360 4565195 16.59
2370 4584922 16.49
2380 4606450 16.32
2390 4627003 16.22
2400 4648800 16.12
2410 4669293 16.08
2420 4690272 15.99
2430 4711464 15.9
2440 4731929 16.02
2450 4751960 16.14
2460 4771469 16.33
2470 4792224 16.27
2480 4813566 16.28
2490 4834548 16.17
2500 4854633 16.46
2510 4875686 16.39
2520 4897610 16.27
2530 4920174 16.23
2540 4943517 15.88
2550 4965004 15.69
2560 4986208 15.54
2570 5005767 15.73
2580 5027674 15.81
2590 5048691 15.92
2600 5069558 15.9
2610 5088812 16.1
2620 5108711 16.28
2630 5131320 16.14
